code,description,last_updated
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2025-09-07
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2025-09-07
A543,Gonococcal infection of eye,2025-09-07
A544,Gonococcal infection of musculoskeletal system,2025-09-07
A545,Gonococcal pharyngitis,2025-09-07
A546,Gonococcal infection of anus and rectum,2025-09-07
A548,Other gonococcal infections,2025-09-07
A549,"Gonococcal infection, unspecified",2025-09-07
A55,Chlamydial lymphogranuloma (venereum),2025-09-07
A56,Other sexually transmitted chlamydial diseases,2025-09-07
A560,Chlamydial infection of lower genitourinary tract,2025-09-07
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,2025-09-07
A562,"Chlamydial infection of genitourinary tract, unspecified",2025-09-07
A563,Chlamydial infection of anus and rectum,2025-09-07
A564,Chlamydial infection of pharynx,2025-09-07
A568,Sexually transmitted chlamydial infection of other sites,2025-09-07
A57,Chancroid,2025-09-07
A58,Granuloma inguinale,2025-09-07
A59,Trichomoniasis,2025-09-07
A590,Urogenital trichomoniasis,2025-09-07
A598,Trichomoniasis of other sites,2025-09-07
A599,"Trichomoniasis, unspecified",2025-09-07
A60,Anogenital herpesviral [herpes simplex] infection,2025-09-07
A600,Herpesviral infection of genitalia and urogenital tract,2025-09-07
A601,Herpesviral infection of perianal skin and rectum,2025-09-07
A609,"Anogenital herpesviral infection, unspecified",2025-09-07
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",2025-09-07
A630,Anogenital (venereal) warts,2025-09-07
A638,Other specified predominantly sexually transmitted diseases,2025-09-07
A64,Unspecified sexually transmitted disease,2025-09-07
A65,Nonvenereal syphilis,2025-09-07
A66,Yaws,2025-09-07
A660,Initial lesions of yaws,2025-09-07
A661,Multiple papillomata and wet crab yaws,2025-09-07
A662,Other early skin lesions of yaws,2025-09-07
A663,Hyperkeratosis of yaws,2025-09-07
A664,Gummata and ulcers of yaws,2025-09-07
A665,Gangosa,2025-09-07
A666,Bone and joint lesions of yaws,2025-09-07
A667,Other manifestations of yaws,2025-09-07
A668,Latent yaws,2025-09-07
A669,"Yaws, unspecified",2025-09-07
A67,Pinta [carate],2025-09-07
A670,Primary lesions of pinta,2025-09-07
A671,Intermediate lesions of pinta,2025-09-07
A672,Late lesions of pinta,2025-09-07
A673,Mixed lesions of pinta,2025-09-07
A679,"Pinta, unspecified",2025-09-07
A68,Relapsing fevers,2025-09-07
A680,Louse-borne relapsing fever,2025-09-07
A681,Tick-borne relapsing fever,2025-09-07
A689,"Relapsing fever, unspecified",2025-09-07
A69,Other spirochaetal infections,2025-09-07
A690,Necrotizing ulcerative stomatitis,2025-09-07
A691,Other Vincent infections,2025-09-07
A692,Lyme disease,2025-09-07
A698,Other specified spirochaetal infections,2025-09-07
A699,"Spirochaetal infection, unspecified",2025-09-07
A70,Chlamydia psittaci infection,2025-09-07
A71,Trachoma,2025-09-07
A710,Initial stage of trachoma,2025-09-07
A711,Active stage of trachoma,2025-09-07
A719,"Trachoma, unspecified",2025-09-07
A74,Other diseases caused by chlamydiae,2025-09-07
A740,Chlamydial conjunctivitis,2025-09-07
A748,Other chlamydial diseases,2025-09-07
A749,"Chlamydial infection, unspecified",2025-09-07
A75,Typhus fever,2025-09-07
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,2025-09-07
A751,Recrudescent typhus [Brill disease],2025-09-07
A752,Typhus fever due to Rickettsia typhi,2025-09-07
A753,Typhus fever due to Rickettsia tsutsugamushi,2025-09-07
A759,"Typhus fever, unspecified",2025-09-07
A77,Spotted fever [tick-borne rickettsioses],2025-09-07
A770,Spotted fever due to Rickettsia rickettsii,2025-09-07
A771,Spotted fever due to Rickettsia conorii,2025-09-07
A772,Spotted fever due to Rickettsia sibirica,2025-09-07
A773,Spotted fever due to Rickettsia australis,2025-09-07
A778,Other spotted fevers,2025-09-07
A779,"Spotted fever, unspecified",2025-09-07
A78,Q fever,2025-09-07
A79,Other rickettsioses,2025-09-07
A790,Trench fever,2025-09-07
A791,Rickettsialpox due to Rickettsia akari,2025-09-07
A798,Other specified rickettsioses,2025-09-07
A799,"Rickettsiosis, unspecified",2025-09-07
A80,Acute poliomyelitis,2025-09-07
A800,"Acute paralytic poliomyelitis, vaccine-associated",2025-09-07
A801,"Acute paralytic poliomyelitis, wild virus, imported",2025-09-07
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",2025-09-07
A803,"Acute paralytic poliomyelitis, other and unspecified",2025-09-07
A804,Acute nonparalytic poliomyelitis,2025-09-07
A809,"Acute poliomyelitis, unspecified",2025-09-07
A81,Atypical virus infections of central nervous system,2025-09-07
A810,Creutzfeldt-Jakob disease,2025-09-07
A811,Subacute sclerosing panencephalitis,2025-09-07
A812,Progressive multifocal leukoencephalopathy,2025-09-07
A818,Other atypical virus infections of central nervous system,2025-09-07
A819,"Atypical virus infection of central nervous system, unspecified",2025-09-07
A82,Rabies,2025-09-07
A820,Sylvatic rabies,2025-09-07
A821,Urban rabies,2025-09-07
A829,"Rabies, unspecified",2025-09-07
A83,Mosquito-borne viral encephalitis,2025-09-07
A830,Japanese encephalitis,2025-09-07
A831,Western equine encephalitis,2025-09-07
A832,Eastern equine encephalitis,2025-09-07
A833,St Louis encephalitis,2025-09-07
A834,Australian encephalitis,2025-09-07
A835,California encephalitis,2025-09-07
A836,Rocio virus disease,2025-09-07
A838,Other mosquito-borne viral encephalitis,2025-09-07
A839,"Mosquito-borne viral encephalitis, unspecified",2025-09-07
A84,Tick-borne viral encephalitis,2025-09-07
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],2025-09-07
A841,Central European tick-borne encephalitis,2025-09-07
A848,Other tick-borne viral encephalitis,2025-09-07
A849,"Tick-borne viral encephalitis, unspecified",2025-09-07
A85,"Other viral encephalitis, not elsewhere classified",2025-09-07
A850,Enteroviral encephalitis,2025-09-07
A851,Adenoviral encephalitis,2025-09-07
A852,"Arthropod-borne viral encephalitis, unspecified",2025-09-07
A858,Other specified viral encephalitis,2025-09-07
A86,Unspecified viral encephalitis,2025-09-07
A87,Viral meningitis,2025-09-07
A870,Enteroviral meningitis,2025-09-07
A871,Adenoviral meningitis,2025-09-07
A872,Lymphocytic choriomeningitis,2025-09-07
A878,Other viral meningitis,2025-09-07
A879,"Viral meningitis, unspecified",2025-09-07
A88,"Other viral infections of central nervous system, not elsewhere classified",2025-09-07
A880,Enteroviral exanthematous fever [Boston exanthem],2025-09-07
A881,Epidemic vertigo,2025-09-07
A888,Other specified viral infections of central nervous system,2025-09-07
A89,Unspecified viral infection of central nervous system,2025-09-07
A92,Other mosquito-borne viral fevers,2025-09-07
A920,Chikungunya virus disease,2025-09-07
A921,O'nyong-nyong fever,2025-09-07
A922,Venezuelan equine fever,2025-09-07
A923,West Nile virus infection,2025-09-07
A924,Rift Valley fever,2025-09-07
A925,Zika virus disease,2025-09-07
A928,Other specified mosquito-borne viral fevers,2025-09-07
A929,"Mosquito-borne viral fever, unspecified",2025-09-07
A93,"Other arthropod-borne viral fevers, not elsewhere classified",2025-09-07
A930,Oropouche virus disease,2025-09-07
A931,Sandfly fever,2025-09-07
A932,Colorado tick fever,2025-09-07
A938,Other specified arthropod-borne viral fevers,2025-09-07
A94,Unspecified arthropod-borne viral fever,2025-09-07
A95,Yellow fever,2025-09-07
A950,Sylvatic yellow fever,2025-09-07
A951,Urban yellow fever,2025-09-07
A959,"Yellow fever, unspecified",2025-09-07
A96,Arenaviral haemorrhagic fever,2025-09-07
A960,Junin haemorrhagic fever,2025-09-07
A961,Machupo haemorrhagic fever,2025-09-07
A962,Lassa fever,2025-09-07
A968,Other arenaviral haemorrhagic fevers,2025-09-07
A969,"Arenaviral haemorrhagic fever, unspecified",2025-09-07
A97,Dengue,2025-09-07
A970,Dengue without warning signs,2025-09-07
A971,Dengue with warning signs,2025-09-07
A972,Severe Dengue,2025-09-07
A979,"Dengue, unspecified",2025-09-07
A98,"Other viral haemorrhagic fevers, not elsewhere classified",2025-09-07
A980,Crimean-Congo haemorrhagic fever,2025-09-07
A981,Omsk haemorrhagic fever,2025-09-07
A982,Kyasanur Forest disease,2025-09-07
A983,Marburg virus disease,2025-09-07
A984,Ebola virus disease,2025-09-07
A985,Haemorrhagic fever with renal syndrome,2025-09-07
A988,Other specified viral haemorrhagic fevers,2025-09-07
A99,Unspecified viral haemorrhagic fever,2025-09-07
B00,Herpesviral [herpes simplex] infections,2025-09-07
B000,Eczema herpeticum,2025-09-07
B001,Herpesviral vesicular dermatitis,2025-09-07
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,2025-09-07
B003,Herpesviral meningitis,2025-09-07
B004,Herpesviral encephalitis,2025-09-07
B005,Herpesviral ocular disease,2025-09-07
B007,Disseminated herpesviral disease,2025-09-07
B008,Other forms of herpesviral infection,2025-09-07
B009,"Herpesviral infection, unspecified",2025-09-07
B01,Varicella [chickenpox],2025-09-07
B010,Varicella meningitis,2025-09-07
B011,Varicella encephalitis,2025-09-07
B012,Varicella pneumonia,2025-09-07
B018,Varicella with other complications,2025-09-07
B019,Varicella without complication,2025-09-07
B02,Zoster [herpes zoster],2025-09-07
B020,Zoster encephalitis,2025-09-07
B021,Zoster meningitis,2025-09-07
B022,Zoster with other nervous system involvement,2025-09-07
B023,Zoster ocular disease,2025-09-07
B027,Disseminated zoster,2025-09-07
B028,Zoster with other complications,2025-09-07
B029,Zoster without complication,2025-09-07
B03,Smallpox,2025-09-07
B04,Monkeypox,2025-09-07
B05,Measles,2025-09-07
B050,Measles complicated by encephalitis,2025-09-07
B051,Measles complicated by meningitis,2025-09-07
B052,Measles complicated by pneumonia,2025-09-07
B053,Measles complicated by otitis media,2025-09-07
B054,Measles with intestinal complications,2025-09-07
B058,Measles with other complications,2025-09-07
B059,Measles without complication,2025-09-07
B06,Rubella [German measles],2025-09-07
B060,Rubella with neurological complications,2025-09-07
B068,Rubella with other complications,2025-09-07
B069,Rubella without complication,2025-09-07
B07,Viral warts,2025-09-07
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",2025-09-07
B080,Other orthopoxvirus infections,2025-09-07
B081,Molluscum contagiosum,2025-09-07
B082,Exanthema subitum [sixth disease],2025-09-07
B083,Erythema infectiosum [fifth disease],2025-09-07
B084,Enteroviral vesicular stomatitis with exanthem,2025-09-07
B085,Enteroviral vesicular pharyngitis,2025-09-07
B088,Other specified viral infections characterized by skin and mucous membrane lesions,2025-09-07
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,2025-09-07
B15,Acute hepatitis A,2025-09-07
B150,Hepatitis A with hepatic coma,2025-09-07
B159,Hepatitis A without hepatic coma,2025-09-07
B16,Acute hepatitis B,2025-09-07
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,2025-09-07
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,2025-09-07
B162,Acute hepatitis B without delta-agent with hepatic coma,2025-09-07
B169,Acute hepatitis B without delta-agent and without hepatic coma,2025-09-07
B17,Other acute viral hepatitis,2025-09-07
B170,Acute delta-(super)infection in chronic hepatitis B,2025-09-07
B171,Acute hepatitis C,2025-09-07
B172,Acute hepatitis E,2025-09-07
B178,Other specified acute viral hepatitis,2025-09-07
B179,"Acute viral hepatitis, unspecified",2025-09-07
B18,Chronic viral hepatitis,2025-09-07
B180,Chronic viral hepatitis B with delta-agent,2025-09-07
B1800,Chronic viral hepatitis B with delta-agent: immune-tolerant phase,2025-09-07
B1809,Chronic viral hepatitis B with delta-agent: other and unspecified phase,2025-09-07
B181,Chronic viral hepatitis B without delta-agent,2025-09-07
B1810,Chronic viral hepatitis B without delta-agent: immune-tolerant phase,2025-09-07
B1819,Chronic viral hepatitis B without delta-agent: other and unspecified phase,2025-09-07
B182,Chronic viral hepatitis C,2025-09-07
B188,Other chronic viral hepatitis,2025-09-07
B189,"Chronic viral hepatitis, unspecified",2025-09-07
B19,Unspecified viral hepatitis,2025-09-07
B190,Unspecified viral hepatitis with hepatic coma,2025-09-07
B199,Unspecified viral hepatitis without hepatic coma,2025-09-07
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,2025-09-07
B200,HIV disease resulting in mycobacterial infection,2025-09-07
B201,HIV disease resulting in other bacterial infections,2025-09-07
B202,HIV disease resulting in cytomegaloviral disease,2025-09-07
B203,HIV disease resulting in other viral infections,2025-09-07
B204,HIV disease resulting in candidiasis,2025-09-07
B205,HIV disease resulting in other mycoses,2025-09-07
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,2025-09-07
B207,HIV disease resulting in multiple infections,2025-09-07
B208,HIV disease resulting in other infectious and parasitic diseases,2025-09-07
B209,HIV disease resulting in unspecified infectious or parasitic disease,2025-09-07
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,2025-09-07
B210,HIV disease resulting in Kaposi sarcoma,2025-09-07
B211,HIV disease resulting in Burkitt lymphoma,2025-09-07
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,2025-09-07
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",2025-09-07
B217,HIV disease resulting in multiple malignant neoplasms,2025-09-07
B218,HIV disease resulting in other malignant neoplasms,2025-09-07
B219,HIV disease resulting in unspecified malignant neoplasm,2025-09-07
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,2025-09-07
B220,HIV disease resulting in encephalopathy,2025-09-07
